Company,Aliases,Max applications,Window days,Active,Notes
Plaid,plaid,3,90,Y,Posted limit; verify on the careers page
Airwallex,airwallex,3,90,Y,Posted limit
Ramp,ramp,1,100,Y,"Enforced at final Submit, no earlier warning"
Persona,persona,2,60,Y,Posted limit; same role 180 days
Block,block;square;cash app,9,60,Y,Posted limit (active applications)
Coinbase,coinbase,3,180,Y,Posted limit
Salesforce,salesforce,3,365,Y,JD asks candidates to consider max 3 roles / 12 months
Expedia Group,expedia,5,45,Y,Posted limit
